"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta[1]",112.039732446101,113.05738,54.7301952483274,55.6118078313,23.1220134,200.31897,1.000415400751,4894.88034135091,5103.28946716256
"beta[2]",-148.3987369395,-148.10987,30.8625953511186,30.421039446,-199.666309,-97.3452212000001,1.00009056914622,7226.52344684652,6097.83604615626
"beta[3]",0.953679107105,0.95432041,0.0414115891694514,0.041394065979,0.884906092,1.02044536,1.00002450531058,8035.21344425858,6174.66431209245
"beta[4]",-0.40381368543711,-0.42252377,0.916127946437736,0.908836928286,-1.923428605,1.10407208,1.00110559888886,5418.87074987273,5200.9651156611
"beta[5]",3.87826070744208,3.8802586,1.8442509217835,1.85744953863,0.8511037055,6.86088307,1.00020653235372,5986.43770660649,5391.13829508601
"beta[6]",3.42633357359429,3.0980626,20.6711358320345,20.3758736601,-30.4611859,37.73535575,0.99994614345832,6523.32249402307,5692.36230104635
"beta[7]",3.4964647182676,3.45776625,21.0785333552696,20.9250094263,-31.04873735,38.22389375,1.00028750437375,6337.26300682164,5431.67766024144
"beta[8]",8.03695950338706,7.99902835,17.5922258832096,17.87136796263,-20.43119315,36.8310823,1.00192913328328,6410.28882642744,5954.73023541931
"beta[9]",-4.6329061809461,-4.8577971,17.543079027627,17.65297697961,-33.3160645,24.4266206,1.00056095991401,7199.24147796767,5894.26027836577
"sigma",178.534713055,178.415855,6.02459605656538,6.09112866600001,168.9089185,188.6943435,1.00067891954389,7217.618937986,5477.93451950033
