"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta[1]",20.1557828471125,20.156976,3.66033801725374,3.6528506364,14.26274885,26.21813245,1.00056502158331,5296.21583260699,4725.80484739941
"beta[2]",-0.742121353220085,-0.73585349,1.81293249715015,1.803009081909,-3.716480355,2.259872295,1.00067542100778,8950.45133757686,5711.46093649299
"beta[3]",0.47450117319,0.474371055,0.0339230437298407,0.033493290579,0.4186803225,0.531128023,1.00003999678176,7449.60113330036,5937.89442662036
"beta[4]",0.0813452088671792,0.0810969745,0.0537579055279824,0.0531660382239,-0.00659843111499999,0.171498504,1.00041953257635,7157.92748097626,5397.73350942215
"beta[5]",0.0105567869365154,0.011483326,0.108195401081629,0.1080200854887,-0.168814111,0.187812124,1.000957624165,6447.03658700796,5264.21375246213
"beta[6]",1.42779899285752,1.44209045,1.19912763564231,1.205311820181,-0.5712131685,3.382898035,1.00001290978764,6702.24505736883,5684.37660038654
"beta[7]",2.23499612428905,2.2267771,1.19780661080544,1.19579592258,0.258750729,4.20033287,0.999957779177887,6701.40288875621,5653.41054930672
"beta[8]",2.67868708459324,2.6730298,0.987199930386166,0.98306083617,1.06083472,4.32284801,1.00146939838832,8231.92032440903,5968.64075984226
"beta[9]",0.0321495251812687,0.039065824,1.00923255343933,1.0152945231324,-1.615213395,1.7109045,1.00062239705186,8461.66184263882,5591.27480035207
"beta[10]",-2.28464353835569,-2.30242625,1.54760860411844,1.52758645767,-4.788349745,0.253382208999998,1.00102196659783,9117.17145470635,5987.54071591543
"sigma",9.85024792845,9.84214765,0.328352824374526,0.328939791809999,9.32580766,10.40893895,1.00021055194964,8581.25141239385,5725.26172402595
