"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta[1]",19.545820035575,19.526398,3.77443895315218,3.7271911656,13.39873965,25.80921255,1.00071780293393,4956.3107073787,4261.45790907859
"beta[2]",-0.496741434378421,-0.49866318,1.77959996155754,1.769431542585,-3.487906325,2.410497805,1.00142378323417,7729.57800013522,5372.1550496954
"beta[3]",0.47471884842375,0.475269145,0.0345093812197026,0.033786274578,0.417708837,0.5317615075,1.00060660362815,7973.85321794019,5697.86657468488
"beta[4]",0.0832926922250221,0.083512032,0.0550541448796465,0.0552693094401,-0.008463960825,0.172485028,1.0014845429615,6770.86234806775,5220.12489668225
"beta[5]",0.0229123546183513,0.022889102,0.109718466784827,0.1093626531774,-0.160345598,0.201320536,1.00041055310006,6276.45531342663,4486.70893422207
"beta[6]",1.43079140578012,1.40450295,1.22427547894432,1.2110380884,-0.566116008,3.45833699,1.00041070514181,7482.5102426869,5445.43952077505
"beta[7]",2.15096064310297,2.15503765,1.21398067627862,1.19823376176,0.1996506845,4.185757525,1.0012381592493,7063.84003007353,5055.90549974718
"beta[8]",2.72645242555613,2.74061815,1.00529977437747,0.99883458822,1.068660395,4.37271653,1.00049583569227,7935.04804836501,5158.28262083082
"beta[9]",-0.0753733437260928,-0.063663429,1.01689188675364,1.0221329296416,-1.758205515,1.56251987,1.0009683168224,7741.84709857881,5031.44629218751
"sigma",9.861464786975,9.8528796,0.321928807427184,0.317589821639999,9.34960662,10.4051382,1.00016787037575,8684.60413000488,5066.57637970716
