"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta[1]",17.5863429767625,17.5615325,3.73736866370437,3.785322429,11.44172965,23.70082415,1.00064455469979,5023.40244617877,5170.78496022166
"beta[2]",-3.56727677558991,-3.5520181,1.38563416611254,1.37556584277,-5.861518065,-1.297933005,1.00046936233699,9572.26575530098,5747.10430654479
"beta[3]",0.69814165384625,0.697505095,0.0437338361758663,0.042918920079,0.62718166,0.77081905,1.00028854276764,6808.49450682242,5868.6027656539
"beta[4]",-0.0977207400955629,-0.097384407,0.0434565951469116,0.0436076493069,-0.1697556685,-0.0266793143,0.99998259885314,7785.68557261931,5900.98287219493
"beta[5]",0.0613826756015996,0.0626359195,0.0867148369698488,0.08623709633196,-0.0833224993,0.2048067445,1.00067908665749,7906.30403581386,5956.71904739516
"beta[6]",-0.118133738455272,-0.113546895,0.933587385991947,0.935584729863,-1.653664005,1.38912303,1.00058147607258,7782.59075224031,6660.97144396004
"beta[7]",-1.65533287373651,-1.66561705,0.94179020137757,0.96069151563,-3.18152844,-0.0922127119000006,1.00011789661962,7286.49041336732,6814.04302192408
"beta[8]",-0.200640905147061,-0.19610506,0.769485801703919,0.769474878207,-1.453810595,1.059050835,1.00030483486801,9568.15397594224,6003.2597033268
"beta[9]",0.500467604875275,0.490920235,0.804829229163919,0.8090113101378,-0.823885972,1.816402025,1.00077377888203,8741.0689013165,6203.69341021299
"beta[10]",-2.1953600404384,-2.2020611,1.2195555264258,1.20546810846,-4.19915223,-0.142139373000004,1.00071553257755,10037.5069762472,5547.37966938583
"sigma",7.7662905400125,7.75971805,0.252490059457829,0.25354038969,7.36008731,8.1933836,1.00030837725145,10203.2215345975,6083.13021060234
