"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta[1]",17.2304677858875,17.2263315,3.78506365808426,3.7071827373,10.9728273,23.4223482,1.00066380879764,5423.41707251664,4658.61811165768
"beta[2]",-3.33198270103259,-3.3327335,1.36945923514511,1.35264766371,-5.60412268,-1.096591495,1.00014808071171,9315.92588487424,5203.99257939936
"beta[3]",0.69548286848875,0.695634645,0.0436617880589282,0.0436143558480001,0.6241717955,0.7679172685,1.00023338862133,6719.69327374571,5616.51694422204
"beta[4]",-0.0978781848894863,-0.097568309,0.0439368901300952,0.0440399117151,-0.1716729005,-0.0277172052,1.00061907173725,7515.03298454148,5762.30593993957
"beta[5]",0.0734577576852152,0.0727018885,0.0866588504760893,0.0867437717685,-0.06730423395,0.216548292,1.00020406044353,8361.82565727053,5448.40790122341
"beta[6]",-0.116626798425125,-0.10718185,0.92722703088768,0.930942457221,-1.6380205,1.38692436,1.00047345850819,7823.21351222373,6000.56777062526
"beta[7]",-1.70943848586244,-1.7202985,0.926099209711591,0.94154173512,-3.217828905,-0.198052516500002,1.00028133873729,7525.66038060588,5837.87240563362
"beta[8]",-0.153939660481238,-0.15523706,0.785573546001504,0.789428331699,-1.443761035,1.143670735,1.00044530184289,8946.25909533419,5748.23231728474
"beta[9]",0.389057884538189,0.389169465,0.817971549214816,0.816908685936,-0.9672075145,1.721811785,1.0001220610199,8959.67580389925,6023.75471427316
"sigma",7.785829924,7.7789793,0.255787580618018,0.26107807635,7.38484124,8.21127203,1.00027724329143,9934.78199558816,6062.33944721666
