"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta[1]",0.261825061464803,0.26185105,0.542035294748655,0.551262466944,-0.615733185,1.152346485,1.00106257310585,5239.90897897778,5578.7447769661
"beta[2]",0.017306193261454,0.0188541865,0.201921352655559,0.1989953777931,-0.3176455005,0.355247912,1.00119863790424,8913.72759145246,5964.00326084743
"beta[3]",0.48519945505625,0.485768205,0.059128425687498,0.059966766678,0.3878559525,0.5806812745,1.00086715164597,7319.28891813952,5941.41047811534
"beta[4]",-0.00225497431241622,-0.0022859664,0.00613540773566012,0.0060764108958,-0.01235095325,0.00799029522999999,1.00035961440285,8650.51396986113,5577.83863951167
"beta[5]",-0.0207407525983311,-0.021081375,0.0126386532304114,0.0126499405368,-0.04109775975,0.000705481623499979,1.00040994257416,7844.75948467573,5751.71284122728
"beta[6]",-0.222333204474508,-0.226334615,0.135092935144599,0.135660034944,-0.440066835,0.00109951006999991,1.00051697283537,7656.05742801479,6270.69252877162
"beta[7]",-0.109159562212417,-0.109965125,0.138793102003985,0.1380377672961,-0.336000588,0.120327724,1.00032992207513,6862.73709377314,6019.70949495627
"beta[8]",-0.127031007640626,-0.126334065,0.112669201695017,0.1133011178082,-0.3133917965,0.0560969835499999,1.00045648891627,8117.5768452119,4992.814397573
"beta[9]",0.215563939134873,0.215263485,0.116490862381374,0.116942098749,0.0249027273,0.407848934,1.00042786017216,8599.64724423294,6330.65568986017
"beta[10]",0.436625783969284,0.437131255,0.178323972521725,0.17989809096,0.1398545755,0.725970893,1.00188266210822,9131.3543041614,5157.81113153579
"sigma",1.1264550463475,1.12562445,0.0365183068527007,0.0368544708000001,1.06814886,1.187208175,1.00019192360073,8930.45976353864,5585.30162441041
