"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta[1]",0.384215139996142,0.3775466,0.523654577757112,0.528363635814,-0.455789259,1.261216065,1.00077474029903,4757.12978247173,5371.02332473275
"beta[2]",-0.0283689125975648,-0.0263310535,0.204027638243847,0.2045104792941,-0.3689565685,0.3101947805,1.00167335992716,9936.59460138454,5861.54782690629
"beta[3]",0.481980928645,0.48252962,0.0577017145929278,0.058573426611,0.386536035,0.577149679,1.00155452088689,6820.03235218943,5574.94462794992
"beta[4]",-0.00248275668974939,-0.0024609576,0.00623871590780106,0.0062734106295,-0.01269997585,0.00779685878,1.00398589654988,8309.84621946503,5419.79040862675
"beta[5]",-0.02308678560059,-0.02311077,0.01252342117137,0.0124933409118,-0.0436076841,-0.00282015961,1.00051339315838,6976.77306205425,5544.2701180255
"beta[6]",-0.222796399508787,-0.22233484,0.134660309294612,0.137357293185,-0.4445554755,-0.00383088637500007,1.0002569215708,7350.74377532166,5514.57366317959
"beta[7]",-0.0979690711487246,-0.097700773,0.136454603385043,0.1415173309032,-0.3233899675,0.128388116,1.00019311351348,7338.8243838922,6054.92269374721
"beta[8]",-0.135779617606044,-0.136282425,0.116554604232292,0.116339836977,-0.3286153195,0.0553416530499999,1.00002057159364,8055.60796837131,4929.91257907101
"beta[9]",0.237523585653186,0.23785576,0.116135415106625,0.116340467082,0.0494245707,0.4287331875,1.00000412783043,8302.32600889979,6078.32102937005
"sigma",1.13255331505375,1.1314065,0.03753697433011,0.03766367388,1.07306445,1.195368705,1.00055784902081,7806.8783610106,5149.86404509391
