"sample_size","rho","method","mcse_TPR","mcse_FPR","mcse_model_size","mcse_bias","mcse_coverage","Method","Scenario"
250,0,"Backward AIC",0.000649253257965871,0.00102918353059682,0.0157345148160231,0.000305230631945784,0.00117950796182137,"AIC","N = 250, rho = 0"
250,0,"Backward BIC",0.000982775775455664,0.000389467122585551,0.00761985893734408,0.000344288788835093,0.00148799752419149,"BIC","N = 250, rho = 0"
250,0,"Backward p-value",0.000502141588217369,0.00121725942402755,0.0183848829039496,0.000299899183608359,0.00110312822101513,"Backward","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se",0.000918518376299984,0.000932548579739547,0.0155833077344957,0.000329376722376158,0.00138444090086937,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.min",0.000388160413811977,0.00201367025164097,0.0304883196119969,0.000297594484249076,0.00105290825811179,"EN min","N = 250, rho = 0"
250,0,"LASSO: lambda.1se",0.00100561541666614,0.00065505380830234,0.0120071610796107,0.000348649513800104,0.00150801941366814,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.min",0.000481243804697739,0.00208475449077232,0.0317349306219843,0.000299606641179096,0.00108881257891338,"LASSO min","N = 250, rho = 0"
250,0.35,"Backward AIC",0.0008436436057088,0.00104236501563316,0.0160598089262069,0.000371696516774357,0.00135477726287386,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC",0.00101478033973555,0.000408191855563023,0.00769243741341689,0.000413303368233778,0.00166158261907135,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward p-value",0.000693801193433393,0.0012206447848176,0.0185622597425172,0.000363861200746783,0.00123809814150575,"Backward","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se",0.00056632714277462,0.00117502693961921,0.0177342387861033,0.000340068087431132,0.00120379192886479,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min",0.000425007085943647,0.00177265482366018,0.0266856726261931,0.000354022036519147,0.00113909027210314,"EN min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se",0.000809482356922383,0.000963285667064595,0.0151925921582082,0.000353788262971083,0.00134211768187443,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min",0.000490952811852979,0.00178675966857145,0.0269916515783213,0.000353184742612636,0.00116512576488549,"LASSO min","N = 250, rho = 0.35"
250,0.7,"Backward AIC",0.00109182334093972,0.0010319872381798,0.0162459671655742,0.000551935039053071,0.00162392463864553,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC",0.00104792550058937,0.000437694517880258,0.00765540146022086,0.000626017184258188,0.00195018489174745,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward p-value",0.00100233542670643,0.00121323632341761,0.0187359201394099,0.000536803678285204,0.00148195589408052,"Backward","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se",0.00065025044603157,0.00125088925220461,0.0188827956615857,0.000481638792636632,0.00124024770429136,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min",0.000720495851082532,0.00162493875520014,0.0246416528890761,0.000504830093206086,0.00129659423413804,"EN min","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.1se",0.000946077135435911,0.00111527028537822,0.0172351521329783,0.000484845808084099,0.00148639071848555,"LASSO 1se","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.min",0.000786280372184355,0.00166826294061002,0.0254140290250706,0.000502902393700929,0.00134271342884474,"LASSO min","N = 250, rho = 0.7"
