"sample_size","rho","method","variable","beta_true","selection_probability","mean_bias","coverage","type_II_error","Method","Scenario"
250,0,"Backward AIC","X1",0.166666666666667,0.8804,-0.00733952874057429,0.8504,0.2672,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X2",0.333333333333333,0.9999,0.000705284500182129,0.9436,3e-04,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X3",0.5,1,-0.00024116387932613,0.9431,0,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X4",0.666666666666667,1,0.000680409023681052,0.9414,0,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X5",0.833333333333333,1,3.14210839437391e-05,0.9454,0,"AIC","N = 250, rho = 0"
250,0,"Backward BIC","X1",0.166666666666667,0.6069,-0.0412608040697352,0.5795,0.3931,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X2",0.333333333333333,0.9978,0.000309045897716768,0.9482,0.0022,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X3",0.5,1,-0.000412584714999302,0.9455,0,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X4",0.666666666666667,1,0.000562485911857496,0.9463,0,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X5",0.833333333333333,1,5.11913484592379e-05,0.9466,0,"BIC","N = 250, rho = 0"
250,0,"Backward p-value","X1",0.166666666666667,0.9325,-0.00323902207548853,0.9022,0.2711,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X2",0.333333333333333,0.9999,0.000686129815527388,0.9439,5e-04,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X3",0.5,1,-0.000189487518503034,0.9421,0,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X4",0.666666666666667,1,0.000757623779452312,0.941,0,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X5",0.833333333333333,1,2.72676576515216e-05,0.9454,0,"Backward","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X1",0.166666666666667,0.7067,-0.0300469864677437,0.6802,0.3352,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X2",0.333333333333333,0.998,-0.0019344720513431,0.9485,0.002,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X3",0.5,1,-0.00270704057584829,0.9446,0,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X4",0.666666666666667,1,-0.002142473455578,0.9441,0,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X5",0.833333333333333,1,-0.00291165412635148,0.9458,0,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X1",0.166666666666667,0.9608,-0.00304357967402813,0.9264,0.2828,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X2",0.333333333333333,1,-0.000775299207942946,0.9458,6e-04,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X3",0.5,1,-0.00178618206518761,0.9438,0,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X4",0.666666666666667,1,-0.00108295775534345,0.9432,0,"EN min","N = 250, rho = 0"
