"sample_size","rho","method","TPR","FPR","Size","Exact","Method","Scenario"
250,0,"Backward AIC",0.97606,0.175306666666667,7.5099,0.0607,"AIC","250, 0"
250,0,"Backward BIC",0.92094,0.0219133333333333,4.9334,0.4393,"BIC","250, 0"
250,0,"Backward p-value",0.98648,0.3119,9.6109,0.0047,"Backward","250, 0"
250,0,"Elastic net: lambda.1se",0.94094,0.0777,5.8702,0.2515,"EN 1se","250, 0"
250,0,"Elastic net: lambda.min",0.99216,0.491873333333333,12.3389,0.0023,"EN min","250, 0"
250,0,"LASSO: lambda.1se",0.91626,0.0382466666666667,5.155,0.3243,"LASSO 1se","250, 0"
250,0,"LASSO: lambda.min",0.98766,0.399666666666667,10.9333,0.0105,"LASSO min","250, 0"
250,0.35,"Backward AIC",0.95392,0.178206666666667,7.4427,0.0525,"AIC","250, 0.35"
250,0.35,"Backward BIC",0.88872,0.02364,4.7982,0.332,"BIC","250, 0.35"
250,0.35,"Backward p-value",0.97202,0.31308,9.5563,0.004,"Backward","250, 0.35"
250,0.35,"Elastic net: lambda.1se",0.98242,0.24676,8.6135,0.017,"EN 1se","250, 0.35"
250,0.35,"Elastic net: lambda.min",0.99052,0.420046666666667,11.2533,0.0016,"EN min","250, 0.35"
250,0.35,"LASSO: lambda.1se",0.95872,0.119526666666667,6.5865,0.147,"LASSO 1se","250, 0.35"
250,0.35,"LASSO: lambda.min",0.98712,0.35056,10.194,0.0074,"LASSO min","250, 0.35"
250,0.7,"Backward AIC",0.8971,0.182886666666667,7.2288,0.0319,"AIC","250, 0.70"
250,0.7,"Backward BIC",0.80486,0.0276,4.4383,0.1036,"BIC","250, 0.70"
250,0.7,"Backward p-value",0.92804,0.317186666666667,9.398,0.0027,"Backward","250, 0.70"
250,0.7,"Elastic net: lambda.1se",0.97608,0.413453333333333,11.0822,2e-04,"EN 1se","250, 0.70"
250,0.7,"Elastic net: lambda.min",0.96958,0.406086666666667,10.9392,9e-04,"EN min","250, 0.70"
250,0.7,"LASSO: lambda.1se",0.93766,0.198153333333333,7.6606,0.0368,"LASSO 1se","250, 0.70"
250,0.7,"LASSO: lambda.min",0.9625,0.353526666666667,10.1154,0.0031,"LASSO min","250, 0.70"
500,0,"Backward AIC",0.99782,0.16632,7.4839,0.0705,"AIC","500, 0"
500,0,"Backward BIC",0.97834,0.0135466666666667,5.0949,0.7292,"BIC","500, 0"
500,0,"Backward p-value",0.99914,0.306546666666667,9.5939,0.0045,"Backward","500, 0"
500,0,"Elastic net: lambda.1se",0.98412,0.0488266666666667,5.653,0.4978,"EN 1se","500, 0"
500,0,"Elastic net: lambda.min",0.99956,0.503346666666667,12.548,0.0017,"EN min","500, 0"
500,0,"LASSO: lambda.1se",0.96676,0.0199466666666667,5.133,0.6359,"LASSO 1se","500, 0"
500,0,"LASSO: lambda.min",0.9992,0.403913333333333,11.0547,0.0101,"LASSO min","500, 0"
500,0.35,"Backward AIC",0.99034,0.170633333333333,7.5112,0.0679,"AIC","500, 0.35"
500,0.35,"Backward BIC",0.95098,0.0149466666666667,4.9791,0.6208,"BIC","500, 0.35"
500,0.35,"Backward p-value",0.99536,0.309453333333333,9.6186,0.0046,"Backward","500, 0.35"
500,0.35,"Elastic net: lambda.1se",0.99758,0.239553333333333,8.5812,0.0238,"EN 1se","500, 0.35"
500,0.35,"Elastic net: lambda.min",0.99916,0.428466666666667,11.4228,0.0019,"EN min","500, 0.35"
500,0.35,"LASSO: lambda.1se",0.9892,0.09638,6.3917,0.2603,"LASSO 1se","500, 0.35"
500,0.35,"LASSO: lambda.min",0.99842,0.355646666666667,10.3268,0.0076,"LASSO min","500, 0.35"
500,0.7,"Backward AIC",0.95224,0.171186666666667,7.329,0.0547,"AIC","500, 0.70"
500,0.7,"Backward BIC",0.87458,0.0173866666666667,4.6337,0.3072,"BIC","500, 0.70"
500,0.7,"Backward p-value",0.97052,0.3075,9.4651,0.0051,"Backward","500, 0.70"
500,0.7,"Elastic net: lambda.1se",0.9939,0.435393333333333,11.5004,0,"EN 1se","500, 0.70"
500,0.7,"Elastic net: lambda.min",0.99078,0.413553333333333,11.1572,9e-04,"EN min","500, 0.70"
500,0.7,"LASSO: lambda.1se",0.97384,0.18122,7.5875,0.0616,"LASSO 1se","500, 0.70"
500,0.7,"LASSO: lambda.min",0.98766,0.35578,10.275,0.0051,"LASSO min","500, 0.70"
