"sample_size","rho","method","variable","false_positive_rate","type_I_error","Method","Scenario"
250,0,"Backward AIC","X10",0.1719,0.0536,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X11",0.1785,0.0596,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X12",0.1744,0.0559,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X13",0.1805,0.0598,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X14",0.1717,0.0545,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X15",0.1674,0.0553,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X16",0.178,0.0572,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X17",0.1761,0.0558,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X18",0.1807,0.0572,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X19",0.1817,0.0575,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X20",0.1719,0.0548,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X6",0.1797,0.0567,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X7",0.172,0.0541,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X8",0.1703,0.0548,"AIC","N = 250, rho = 0"
250,0,"Backward AIC","X9",0.1748,0.0539,"AIC","N = 250, rho = 0"
250,0,"Backward BIC","X10",0.0216,0.0216,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X11",0.0247,0.0247,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X12",0.0228,0.0228,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X13",0.0241,0.0241,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X14",0.0215,0.0215,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X15",0.0228,0.0228,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X16",0.0227,0.0227,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X17",0.0203,0.0203,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X18",0.023,0.023,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X19",0.0218,0.0218,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X20",0.0205,0.0205,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X6",0.0215,0.0215,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X7",0.0189,0.0189,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X8",0.0213,0.0213,"BIC","N = 250, rho = 0"
250,0,"Backward BIC","X9",0.0212,0.0212,"BIC","N = 250, rho = 0"
250,0,"Backward p-value","X10",0.3113,0.0546,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X11",0.3178,0.061,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X12",0.3126,0.0572,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X13",0.318,0.0608,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X14",0.3122,0.056,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X15",0.3035,0.056,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X16",0.3147,0.0578,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X17",0.3125,0.0565,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X18",0.314,0.0592,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X19",0.317,0.0594,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X20",0.3103,0.0556,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X6",0.3178,0.0572,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X7",0.3084,0.0539,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X8",0.3043,0.0563,"Backward","N = 250, rho = 0"
250,0,"Backward p-value","X9",0.3041,0.0541,"Backward","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X10",0.0755,0.0386,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X11",0.0778,0.0393,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X12",0.078,0.0393,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X13",0.082,0.043,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X14",0.0777,0.042,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X15",0.0749,0.0402,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X16",0.079,0.0405,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X17",0.0751,0.0392,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X18",0.0793,0.0415,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X19",0.079,0.0413,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X20",0.0763,0.0394,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X6",0.0832,0.0411,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X7",0.0748,0.0362,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X8",0.0748,0.0394,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se","X9",0.0781,0.0407,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X10",0.4888,0.053,"EN min","N = 250, rho = 0"
250,0,"Elastic net: lambda.min","X11",0.4937,0.0582,"EN min","N = 250, rho = 0"
