"sample_size","rho","method","mean_type_I_error","mcse_type_I_error","mean_type_II_error","mcse_type_II_error","mean_bias_signal_variables","mean_coverage_signal_variables","Method","Scenario"
250,0,"Backward AIC",0.0560466666666667,0.000593887968235436,0.0535,0.00100635729241657,-0.0012327156024187,0.92478,"AIC","N = 250, rho = 0"
250,0,"Backward BIC",0.0219133333333333,0.000378004754428262,0.07906,0.00120672711413973,-0.00815013312534021,0.87322,"BIC","N = 250, rho = 0"
250,0,"Backward p-value",0.05704,0.00059881237128169,0.05432,0.00101360088397752,-0.000391497668272069,0.93492,"Backward","N = 250, rho = 0"
250,0,"Elastic net: lambda.1se",0.0401133333333333,0.000506650792441383,0.06744,0.00112153329330876,-0.00794852533537292,0.89264,"EN 1se","N = 250, rho = 0"
250,0,"Elastic net: lambda.min",0.0532466666666667,0.000579720962507283,0.05668,0.00103409262254403,-0.0017099411625609,0.9411,"EN min","N = 250, rho = 0"
250,0,"LASSO: lambda.1se",0.0279,0.000425218296878203,0.0858,0.00125250437124986,-0.0107474669314944,0.86918,"LASSO 1se","N = 250, rho = 0"
250,0,"LASSO: lambda.min",0.0532466666666667,0.000579720962507283,0.05654,0.00103289136311618,-0.00200612962984929,0.93672,"LASSO min","N = 250, rho = 0"
250,0.35,"Backward AIC",0.06022,0.000614239647043399,0.08254,0.00123066769194612,-0.00248071138313169,0.89778,"AIC","N = 250, rho = 0.35"
250,0.35,"Backward BIC",0.02364,0.000392268193969381,0.11128,0.00140639085321258,-0.00637318847681714,0.8346,"BIC","N = 250, rho = 0.35"
250,0.35,"Backward p-value",0.0596666666666667,0.000611591124611618,0.08454,0.00124413012502712,-0.00136205099253534,0.91636,"Backward","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se",0.00944,0.000249678278323659,0.12468,0.0014773956653517,-0.0349260231926629,0.92136,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min",0.0473466666666667,0.000548360950604753,0.11424,0.00142259778152505,-0.0231804111473075,0.93026,"EN min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se",0.0129066666666667,0.000291434207809381,0.11134,0.00140672246303242,-0.0270460500235814,0.89992,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min",0.0428733333333333,0.000523037351261662,0.11506,0.0014270332609999,-0.0247196221796643,0.92676,"LASSO min","N = 250, rho = 0.35"
250,0.7,"Backward AIC",0.06494,0.00063625359933494,0.16188,0.00164726965369972,-0.00513944577795372,0.84372,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC",0.0276,0.000422991252864643,0.19514,0.00177234522822164,-0.0111108678081139,0.74462,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward p-value",0.06244,0.000624719918043278,0.1676,0.00167039061300044,-0.00253210318134118,0.87442,"Backward","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se",0.00701333333333333,0.000215470748036153,0.24144,0.0019138794444792,-0.0576794905535004,0.91604,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min",0.0388933333333333,0.000499203645523251,0.22404,0.0018646505216796,-0.0444158290028902,0.90736,"EN min","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.1se",0.00860666666666667,0.000238503556305499,0.23124,0.00188556655888887,-0.0569464556794622,0.87354,"LASSO 1se","N = 250, rho = 0.7"
250,0.7,"LASSO: lambda.min",0.0355733333333333,0.000478245901107292,0.22454,0.00186612855077028,-0.0463321647939271,0.89982,"LASSO min","N = 250, rho = 0.7"
500,0,"Backward AIC",0.0533133333333333,0.000580063340347255,0.00832,0.000406221062969413,0.000180679691463392,0.94662,"AIC","N = 500, rho = 0"
500,0,"Backward BIC",0.0135466666666667,0.000298475621437652,0.02166,0.000651012202650611,-0.00171275086972141,0.93234,"BIC","N = 500, rho = 0"
500,0,"Backward p-value",0.0537266666666667,0.000582180452869816,0.00846,0.000409595615210905,0.000228522970171713,0.94594,"Backward","N = 500, rho = 0"
500,0,"Elastic net: lambda.1se",0.0346,0.000471895751199351,0.0166,0.000571391984543011,-0.00185219286487375,0.9371,"EN 1se","N = 500, rho = 0"
500,0,"Elastic net: lambda.min",0.05202,0.000573375499999782,0.00876,0.000416731625869696,-0.000280799178539965,0.94664,"EN min","N = 500, rho = 0"
500,0,"LASSO: lambda.1se",0.01786,0.000341965109331347,0.03336,0.000803082939676843,-0.0036458981305896,0.92074,"LASSO 1se","N = 500, rho = 0"
500,0,"LASSO: lambda.min",0.0521,0.000573792006450653,0.00888,0.00041955084554795,-0.000315113412548053,0.94636,"LASSO min","N = 500, rho = 0"
500,0.35,"Backward AIC",0.0574866666666667,0.000601009982292154,0.0248,0.000695484866837518,-0.000376915782325336,0.93688,"AIC","N = 500, rho = 0.35"
500,0.35,"Backward BIC",0.0149466666666667,0.000313297130769096,0.04902,0.000965577957494888,-0.00221038744203994,0.89738,"BIC","N = 500, rho = 0.35"
500,0.35,"Backward p-value",0.0568933333333333,0.000598088521628449,0.02626,0.000715128133973206,-0.000189259774995064,0.94132,"Backward","N = 500, rho = 0.35"
500,0.35,"Elastic net: lambda.1se",0.00925333333333333,0.000247220672754196,0.04888,0.000964269107666527,-0.0243298406634025,0.9245,"EN 1se","N = 500, rho = 0.35"
500,0.35,"Elastic net: lambda.min",0.0490266666666667,0.000557512646327251,0.04176,0.000894607203190316,-0.015271940800286,0.93232,"EN min","N = 500, rho = 0.35"
500,0.35,"LASSO: lambda.1se",0.0135133333333333,0.000298113212896885,0.03844,0.000859794933690587,-0.0163726692307987,0.92926,"LASSO 1se","N = 500, rho = 0.35"
500,0.35,"LASSO: lambda.min",0.04406,0.000529897577524814,0.04252,0.000902353030692533,-0.0166950378497256,0.93,"LASSO min","N = 500, rho = 0.35"
500,0.7,"Backward AIC",0.0596533333333333,0.000611527122078029,0.08494,0.00124679746871735,-0.00186152839256234,0.8963,"AIC","N = 500, rho = 0.7"
500,0.7,"Backward BIC",0.0173866666666667,0.00033748452299218,0.12542,0.00148114701228474,-0.00452074341708671,0.81492,"BIC","N = 500, rho = 0.7"
500,0.7,"Backward p-value",0.05798,0.00060342533147579,0.08762,0.00126445826819235,-0.000721540867987133,0.91634,"Backward","N = 500, rho = 0.7"
