"n","rho","method","variable","selection_rate","true_positive_rate","type_II_error","false_positive_rate","type_I_error","mean_beta_hat_uncond","bias_uncond","mean_beta_hat_selected","bias_selected","coverage_selected","coverage_uncond"
250,0,"AIC","X1",0.8819,0.8819,0.1181,NA,NA,0.16102953852318,-0.00563712814348637,0.182593875182198,0.0159272085155312,0.963601315341876,0.8498
250,0,"AIC","X10",0.1785,NA,NA,0.1785,0.0563,0.000161521667405596,0.000161521667405596,0.000904883290787651,0.000904883290787651,0.684593837535014,0.1222
250,0,"AIC","X11",0.1695,NA,NA,0.1695,0.0518,-0.000169500498692274,-0.000169500498692274,-0.00100000294213731,-0.00100000294213731,0.694395280235988,0.1177
250,0,"AIC","X12",0.1728,NA,NA,0.1728,0.056,-0.000728463954436536,-0.000728463954436536,-0.0042156478844707,-0.0042156478844707,0.675925925925926,0.1168
250,0,"AIC","X13",0.1682,NA,NA,0.1682,0.05,0.000363940289574207,0.000363940289574207,0.00216373537202264,0.00216373537202264,0.702734839476813,0.1182
250,0,"AIC","X14",0.1748,NA,NA,0.1748,0.0539,-1.72962894750058e-05,-1.72962894750058e-05,-9.8949024456555e-05,-9.8949024456555e-05,0.691647597254005,0.1209
250,0,"AIC","X15",0.1757,NA,NA,0.1757,0.0595,0.0003740310921629,0.0003740310921629,0.00212880530542345,0.00212880530542345,0.661354581673307,0.1162
250,0,"AIC","X16",0.1805,NA,NA,0.1805,0.0606,-0.000971452862576188,-0.000971452862576188,-0.00538201031898165,-0.00538201031898165,0.664265927977839,0.1199
250,0,"AIC","X17",0.1752,NA,NA,0.1752,0.057,-2.61552643390195e-05,-2.61552643390195e-05,-0.000149288038464723,-0.000149288038464723,0.674657534246575,0.1182
250,0,"AIC","X18",0.1759,NA,NA,0.1759,0.0573,0.00141739349724445,0.00141739349724445,0.00805795052441416,0.00805795052441416,0.674246731097214,0.1186
250,0,"AIC","X19",0.1736,NA,NA,0.1736,0.0563,0.000575334760937154,0.000575334760937154,0.003314140327979,0.003314140327979,0.675691244239631,0.1173
250,0,"AIC","X2",1,1,0,NA,NA,0.332817836353273,-0.00051549698005984,0.332817836353273,-0.00051549698005984,0.937,0.937
250,0,"AIC","X20",0.1707,NA,NA,0.1707,0.0578,0.000506208593340197,0.000506208593340197,0.00296548677996601,0.00296548677996601,0.661394258933802,0.1129
250,0,"AIC","X3",1,1,0,NA,NA,0.499397914332076,-0.000602085667923858,0.499397914332076,-0.000602085667923858,0.9414,0.9414
250,0,"AIC","X4",1,1,0,NA,NA,0.667865030996808,0.00119836433014174,0.667865030996808,0.00119836433014174,0.9404,0.9404
250,0,"AIC","X5",1,1,0,NA,NA,0.834481214935176,0.00114788160184288,0.834481214935176,0.00114788160184288,0.9433,0.9433
250,0,"AIC","X6",0.1792,NA,NA,0.1792,0.0591,0.000108485391856026,0.000108485391856026,0.000605387231339433,0.000605387231339433,0.670200892857143,0.1201
250,0,"AIC","X7",0.1736,NA,NA,0.1736,0.0548,0.00025188205856401,0.00025188205856401,0.00145093351707379,0.00145093351707379,0.684331797235023,0.1188
