"n","rho","method","variable","true_positive_rate","type_II_error"
250,0,"AIC","X1",0.8819,0.1181
250,0,"AIC","X2",1,0
250,0,"AIC","X3",1,0
250,0,"AIC","X4",1,0
250,0,"AIC","X5",1,0
250,0,"BIC","X1",0.6135,0.3865
250,0,"BIC","X2",0.9966,0.00339999999999996
250,0,"BIC","X3",1,0
250,0,"BIC","X4",1,0
250,0,"BIC","X5",1,0
250,0,"Backward p-value","X1",0.9332,0.0668
250,0,"Backward p-value","X2",1,0
250,0,"Backward p-value","X3",1,0
250,0,"Backward p-value","X4",1,0
250,0,"Backward p-value","X5",1,0
250,0,"Elastic Net lambda.1se","X1",0.7177,0.2823
250,0,"Elastic Net lambda.1se","X2",0.9975,0.00249999999999995
250,0,"Elastic Net lambda.1se","X3",1,0
250,0,"Elastic Net lambda.1se","X4",1,0
250,0,"Elastic Net lambda.1se","X5",1,0
250,0,"Elastic Net lambda.min","X1",0.9604,0.0396
250,0,"Elastic Net lambda.min","X2",1,0
250,0,"Elastic Net lambda.min","X3",1,0
250,0,"Elastic Net lambda.min","X4",1,0
250,0,"Elastic Net lambda.min","X5",1,0
250,0,"LASSO lambda.1se","X1",0.5937,0.4063
250,0,"LASSO lambda.1se","X2",0.9923,0.00770000000000004
250,0,"LASSO lambda.1se","X3",1,0
250,0,"LASSO lambda.1se","X4",1,0
250,0,"LASSO lambda.1se","X5",1,0
250,0,"LASSO lambda.min","X1",0.942,0.0580000000000001
250,0,"LASSO lambda.min","X2",1,0
250,0,"LASSO lambda.min","X3",1,0
250,0,"LASSO lambda.min","X4",1,0
250,0,"LASSO lambda.min","X5",1,0
250,0.35,"AIC","X1",0.7841,0.2159
250,0.35,"AIC","X2",0.9978,0.00219999999999998
250,0.35,"AIC","X3",1,0
250,0.35,"AIC","X4",1,0
250,0.35,"AIC","X5",1,0
250,0.35,"BIC","X1",0.4687,0.5313
250,0.35,"BIC","X2",0.9827,0.0173
250,0.35,"BIC","X3",0.9999,9.9999999999989e-05
250,0.35,"BIC","X4",1,0
250,0.35,"BIC","X5",1,0
250,0.35,"Backward p-value","X1",0.8672,0.1328
