"n","rho","method","variable","false_positive_rate"
250,0,"AIC","X10",0.1785
250,0,"AIC","X11",0.1695
250,0,"AIC","X12",0.1728
250,0,"AIC","X13",0.1682
250,0,"AIC","X14",0.1748
250,0,"AIC","X15",0.1757
250,0,"AIC","X16",0.1805
250,0,"AIC","X17",0.1752
250,0,"AIC","X18",0.1759
250,0,"AIC","X19",0.1736
250,0,"AIC","X20",0.1707
250,0,"AIC","X6",0.1792
250,0,"AIC","X7",0.1736
250,0,"AIC","X8",0.1742
250,0,"AIC","X9",0.1828
250,0,"BIC","X10",0.0216
250,0,"BIC","X11",0.0205
250,0,"BIC","X12",0.0221
250,0,"BIC","X13",0.0187
250,0,"BIC","X14",0.0213
250,0,"BIC","X15",0.022
250,0,"BIC","X16",0.0236
250,0,"BIC","X17",0.0207
250,0,"BIC","X18",0.0199
250,0,"BIC","X19",0.0218
250,0,"BIC","X20",0.0243
250,0,"BIC","X6",0.0222
250,0,"BIC","X7",0.0199
250,0,"BIC","X8",0.0228
250,0,"BIC","X9",0.0216
250,0,"Backward p-value","X10",0.3113
250,0,"Backward p-value","X11",0.3034
250,0,"Backward p-value","X12",0.313
250,0,"Backward p-value","X13",0.3049
250,0,"Backward p-value","X14",0.3097
250,0,"Backward p-value","X15",0.3066
250,0,"Backward p-value","X16",0.3129
250,0,"Backward p-value","X17",0.3125
250,0,"Backward p-value","X18",0.3065
250,0,"Backward p-value","X19",0.3086
250,0,"Backward p-value","X20",0.3104
250,0,"Backward p-value","X6",0.312
250,0,"Backward p-value","X7",0.309
250,0,"Backward p-value","X8",0.3099
250,0,"Backward p-value","X9",0.3181
250,0,"Elastic Net lambda.1se","X10",0.0784
250,0,"Elastic Net lambda.1se","X11",0.0718
250,0,"Elastic Net lambda.1se","X12",0.0767
250,0,"Elastic Net lambda.1se","X13",0.0768
250,0,"Elastic Net lambda.1se","X14",0.0759
250,0,"Elastic Net lambda.1se","X15",0.0761
250,0,"Elastic Net lambda.1se","X16",0.0849
250,0,"Elastic Net lambda.1se","X17",0.0772
250,0,"Elastic Net lambda.1se","X18",0.0752
250,0,"Elastic Net lambda.1se","X19",0.0762
250,0,"Elastic Net lambda.1se","X20",0.0769
250,0,"Elastic Net lambda.1se","X6",0.0818
250,0,"Elastic Net lambda.1se","X7",0.0781
250,0,"Elastic Net lambda.1se","X8",0.0731
250,0,"Elastic Net lambda.1se","X9",0.0792
250,0,"Elastic Net lambda.min","X10",0.4998
250,0,"Elastic Net lambda.min","X11",0.489
250,0,"Elastic Net lambda.min","X12",0.4906
250,0,"Elastic Net lambda.min","X13",0.4861
250,0,"Elastic Net lambda.min","X14",0.4877
250,0,"Elastic Net lambda.min","X15",0.4852
250,0,"Elastic Net lambda.min","X16",0.4994
250,0,"Elastic Net lambda.min","X17",0.4945
250,0,"Elastic Net lambda.min","X18",0.4914
250,0,"Elastic Net lambda.min","X19",0.4872
250,0,"Elastic Net lambda.min","X20",0.4879
250,0,"Elastic Net lambda.min","X6",0.4959
250,0,"Elastic Net lambda.min","X7",0.4856
250,0,"Elastic Net lambda.min","X8",0.4903
250,0,"Elastic Net lambda.min","X9",0.4983
250,0,"LASSO lambda.1se","X10",0.0399
250,0,"LASSO lambda.1se","X11",0.0353
250,0,"LASSO lambda.1se","X12",0.0371
250,0,"LASSO lambda.1se","X13",0.0373
