"n","rho","method","variable","mean_beta_hat_uncond","true_beta","bias_uncond","coverage_95CI"
250,0,"AIC","X1",0.16102953852318,0.166666666666667,-0.00563712814348637,0.8498
250,0,"AIC","X2",0.332817836353273,0.333333333333333,-0.00051549698005984,0.937
250,0,"AIC","X3",0.499397914332076,0.5,-0.000602085667923858,0.9414
250,0,"AIC","X4",0.667865030996808,0.666666666666667,0.00119836433014174,0.9404
250,0,"AIC","X5",0.834481214935176,0.833333333333333,0.00114788160184288,0.9433
250,0,"BIC","X1",0.12756743160012,0.166666666666667,-0.0390992350665466,0.5834
250,0,"BIC","X2",0.332533062077068,0.333333333333333,-0.000800271256265696,0.9426
250,0,"BIC","X3",0.499527171370236,0.5,-0.000472828629764112,0.9458
250,0,"BIC","X4",0.667931400365397,0.666666666666667,0.00126473369873073,0.946
250,0,"BIC","X5",0.834323335634973,0.833333333333333,0.00099000230163916,0.9464
250,0,"Backward p-value","X1",0.165235958916323,0.166666666666667,-0.00143070775034338,0.9009
250,0,"Backward p-value","X2",0.332738788643203,0.333333333333333,-0.000594544690129961,0.9364
250,0,"Backward p-value","X3",0.49931709315313,0.5,-0.000682906846869995,0.9388
250,0,"Backward p-value","X4",0.667937916662316,0.666666666666667,0.00127124999564937,0.941
250,0,"Backward p-value","X5",0.834505788301026,0.833333333333333,0.00117245496769237,0.9436
250,0,"Elastic Net lambda.1se","X1",0.139505573779405,0.166666666666667,-0.0271610928872616,0.688
250,0,"Elastic Net lambda.1se","X2",0.330313859433804,0.333333333333333,-0.00301947389952905,0.94
250,0,"Elastic Net lambda.1se","X3",0.496982411113037,0.5,-0.0030175888869626,0.9427
250,0,"Elastic Net lambda.1se","X4",0.665270045672683,0.666666666666667,-0.00139662099398395,0.9438
250,0,"Elastic Net lambda.1se","X5",0.83154662545174,0.833333333333333,-0.0017867078815933,0.9443
250,0,"Elastic Net lambda.min","X1",0.165367558516658,0.166666666666667,-0.00129910815000821,0.9241
250,0,"Elastic Net lambda.min","X2",0.331283322732112,0.333333333333333,-0.00205001060122111,0.9393
250,0,"Elastic Net lambda.min","X3",0.497744736496283,0.5,-0.00225526350371707,0.9426
250,0,"Elastic Net lambda.min","X4",0.666084646409245,0.666666666666667,-0.000582020257421611,0.9452
250,0,"Elastic Net lambda.min","X5",0.832557324256801,0.833333333333333,-0.000776009076532796,0.9447
250,0,"LASSO lambda.1se","X1",0.1220173194608,0.166666666666667,-0.0446493472058662,0.5639
250,0,"LASSO lambda.1se","X2",0.329905207314586,0.333333333333333,-0.00342812601874748,0.9417
250,0,"LASSO lambda.1se","X3",0.49779543940018,0.5,-0.00220456059982052,0.9448
250,0,"LASSO lambda.1se","X4",0.666210021082467,0.666666666666667,-0.000456645584199183,0.9461
250,0,"LASSO lambda.1se","X5",0.832745434821079,0.833333333333333,-0.000587898512254596,0.9454
250,0,"LASSO lambda.min","X1",0.163996557184078,0.166666666666667,-0.0026701094825886,0.9079
250,0,"LASSO lambda.min","X2",0.331116613553164,0.333333333333333,-0.00221671978016886,0.938
250,0,"LASSO lambda.min","X3",0.497746090399613,0.5,-0.00225390960038725,0.9416
250,0,"LASSO lambda.min","X4",0.666265340604003,0.666666666666667,-0.000401326062663344,0.9427
250,0,"LASSO lambda.min","X5",0.832830330168442,0.833333333333333,-0.00050300316489171,0.9441
250,0.35,"AIC","X1",0.154192061500552,0.166666666666667,-0.0124746051661149,0.7523
250,0.35,"AIC","X2",0.332806760553327,0.333333333333333,-0.00052657278000632,0.9365
250,0.35,"AIC","X3",0.500834254874013,0.5,0.000834254874013312,0.9388
250,0.35,"AIC","X4",0.667495250827065,0.666666666666667,0.000828584160397834,0.9362
250,0.35,"AIC","X5",0.835934318158495,0.833333333333333,0.0026009848251617,0.9403
250,0.35,"BIC","X1",0.10820035542317,0.166666666666667,-0.0584663112434962,0.4387
250,0.35,"BIC","X2",0.337025111235608,0.333333333333333,0.0036917779022751,0.9348
250,0.35,"BIC","X3",0.507845006094533,0.5,0.00784500609453302,0.9364
250,0.35,"BIC","X4",0.674668693161459,0.666666666666667,0.00800202649479211,0.9383
250,0.35,"BIC","X5",0.843004224785309,0.833333333333333,0.00967089145197604,0.9368
