"n","rho","method","variable","type_I_error"
250,0,"AIC","X10",0.0563
250,0,"AIC","X11",0.0518
250,0,"AIC","X12",0.056
250,0,"AIC","X13",0.05
250,0,"AIC","X14",0.0539
250,0,"AIC","X15",0.0595
250,0,"AIC","X16",0.0606
250,0,"AIC","X17",0.057
250,0,"AIC","X18",0.0573
250,0,"AIC","X19",0.0563
250,0,"AIC","X20",0.0578
250,0,"AIC","X6",0.0591
250,0,"AIC","X7",0.0548
250,0,"AIC","X8",0.0554
250,0,"AIC","X9",0.0563
250,0,"BIC","X10",0.0216
250,0,"BIC","X11",0.0205
250,0,"BIC","X12",0.0221
250,0,"BIC","X13",0.0187
250,0,"BIC","X14",0.0213
250,0,"BIC","X15",0.022
250,0,"BIC","X16",0.0236
250,0,"BIC","X17",0.0207
250,0,"BIC","X18",0.0199
250,0,"BIC","X19",0.0218
250,0,"BIC","X20",0.0243
250,0,"BIC","X6",0.0222
250,0,"BIC","X7",0.0199
250,0,"BIC","X8",0.0228
250,0,"BIC","X9",0.0216
250,0,"Backward p-value","X10",0.0574
250,0,"Backward p-value","X11",0.0544
250,0,"Backward p-value","X12",0.0563
250,0,"Backward p-value","X13",0.0511
250,0,"Backward p-value","X14",0.0549
250,0,"Backward p-value","X15",0.0601
250,0,"Backward p-value","X16",0.0606
250,0,"Backward p-value","X17",0.0579
250,0,"Backward p-value","X18",0.0585
250,0,"Backward p-value","X19",0.0579
250,0,"Backward p-value","X20",0.0563
250,0,"Backward p-value","X6",0.061
250,0,"Backward p-value","X7",0.0557
250,0,"Backward p-value","X8",0.0568
250,0,"Backward p-value","X9",0.0562
250,0,"Elastic Net lambda.1se","X10",0.0407
250,0,"Elastic Net lambda.1se","X11",0.0374
250,0,"Elastic Net lambda.1se","X12",0.041
250,0,"Elastic Net lambda.1se","X13",0.0374
250,0,"Elastic Net lambda.1se","X14",0.0393
250,0,"Elastic Net lambda.1se","X15",0.0429
250,0,"Elastic Net lambda.1se","X16",0.0455
250,0,"Elastic Net lambda.1se","X17",0.0402
250,0,"Elastic Net lambda.1se","X18",0.0399
250,0,"Elastic Net lambda.1se","X19",0.0404
250,0,"Elastic Net lambda.1se","X20",0.0426
250,0,"Elastic Net lambda.1se","X6",0.0426
250,0,"Elastic Net lambda.1se","X7",0.0386
250,0,"Elastic Net lambda.1se","X8",0.0382
250,0,"Elastic Net lambda.1se","X9",0.0411
250,0,"Elastic Net lambda.min","X10",0.0533
250,0,"Elastic Net lambda.min","X11",0.0503
250,0,"Elastic Net lambda.min","X12",0.0543
250,0,"Elastic Net lambda.min","X13",0.0475
250,0,"Elastic Net lambda.min","X14",0.0505
250,0,"Elastic Net lambda.min","X15",0.0557
250,0,"Elastic Net lambda.min","X16",0.0573
250,0,"Elastic Net lambda.min","X17",0.0537
250,0,"Elastic Net lambda.min","X18",0.0547
250,0,"Elastic Net lambda.min","X19",0.0541
250,0,"Elastic Net lambda.min","X20",0.0544
250,0,"Elastic Net lambda.min","X6",0.0576
250,0,"Elastic Net lambda.min","X7",0.0522
250,0,"Elastic Net lambda.min","X8",0.0526
250,0,"Elastic Net lambda.min","X9",0.0517
250,0,"LASSO lambda.1se","X10",0.029
250,0,"LASSO lambda.1se","X11",0.0262
250,0,"LASSO lambda.1se","X12",0.028
250,0,"LASSO lambda.1se","X13",0.0258
250,0,"LASSO lambda.1se","X14",0.0278
250,0,"LASSO lambda.1se","X15",0.0291
250,0,"LASSO lambda.1se","X16",0.032
250,0,"LASSO lambda.1se","X17",0.0277
250,0,"LASSO lambda.1se","X18",0.0265
250,0,"LASSO lambda.1se","X19",0.0282
250,0,"LASSO lambda.1se","X20",0.0292
250,0,"LASSO lambda.1se","X6",0.0298
250,0,"LASSO lambda.1se","X7",0.0272
250,0,"LASSO lambda.1se","X8",0.0275
250,0,"LASSO lambda.1se","X9",0.0282
250,0,"LASSO lambda.min","X10",0.0537
250,0,"LASSO lambda.min","X11",0.0504
250,0,"LASSO lambda.min","X12",0.0539
250,0,"LASSO lambda.min","X13",0.0475
250,0,"LASSO lambda.min","X14",0.0513
250,0,"LASSO lambda.min","X15",0.0558
250,0,"LASSO lambda.min","X16",0.0568
250,0,"LASSO lambda.min","X17",0.0537
250,0,"LASSO lambda.min","X18",0.0532
250,0,"LASSO lambda.min","X19",0.0544
250,0,"LASSO lambda.min","X20",0.0546
250,0,"LASSO lambda.min","X6",0.0567
250,0,"LASSO lambda.min","X7",0.0524
250,0,"LASSO lambda.min","X8",0.0531
250,0,"LASSO lambda.min","X9",0.053
250,0.35,"AIC","X10",0.0613
250,0.35,"AIC","X11",0.0604
250,0.35,"AIC","X12",0.0632
250,0.35,"AIC","X13",0.0601
250,0.35,"AIC","X14",0.0626
