"sample_size","rho","method","mean_TP","mean_FP","mean_FN","mean_TN","mean_model_size","mcse_model_size","mean_true_positive_rate","mcse_true_positive_rate","mean_false_positive_rate","mcse_false_positive_rate","mean_true_negative_rate","mcse_true_negative_rate","mean_false_negative_rate","mcse_false_negative_rate","exact_model_recovery","mcse_exact_model_recovery"
250,0,"Backward AIC",4.8803,2.6296,0.1197,12.3704,7.5099,0.0157345148160231,0.97606,0.000649253257965871,0.175306666666667,0.00102918353059682,0.824693333333333,0.00102918353059682,0.02394,0.000649253257965871,0.0607,0.00238779207637516
250,0,"Backward BIC",4.6047,0.3287,0.3953,14.6713,4.9334,0.00761985893734408,0.92094,0.000982775775455664,0.0219133333333333,0.000389467122585551,0.978086666666667,0.000389467122585551,0.07906,0.000982775775455664,0.4393,0.00496301833565019
250,0,"Backward p-value",4.9324,4.6785,0.0676,10.3215,9.6109,0.0183848829039496,0.98648,0.000502141588217369,0.3119,0.00121725942402755,0.6881,0.00121725942402755,0.01352,0.000502141588217369,0.0047,0.000683952483729681
250,0,"Elastic net: lambda.1se",4.7047,1.1655,0.2953,13.8345,5.8702,0.0155833077344957,0.94094,0.000918518376299984,0.0777,0.000932548579739547,0.9223,0.000932548579739547,0.05906,0.000918518376299985,0.2515,0.00433875270094989
250,0,"Elastic net: lambda.min",4.9608,7.3781,0.0392,7.6219,12.3389,0.0304883196119969,0.99216,0.000388160413811977,0.491873333333333,0.00201367025164097,0.508126666666667,0.00201367025164097,0.00784,0.000388160413811977,0.0023,0.000479031314216513
250,0,"LASSO: lambda.1se",4.5813,0.5737,0.4187,14.4263,5.155,0.0120071610796107,0.91626,0.00100561541666614,0.0382466666666667,0.00065505380830234,0.961753333333333,0.00065505380830234,0.08374,0.00100561541666614,0.3243,0.00468112710786622
250,0,"LASSO: lambda.min",4.9383,5.995,0.0617,9.005,10.9333,0.0317349306219843,0.98766,0.000481243804697739,0.399666666666667,0.00208475449077232,0.600333333333333,0.00208475449077232,0.01234,0.000481243804697739,0.0105,0.00101930123123638
250,0.35,"Backward AIC",4.7696,2.6731,0.2304,12.3269,7.4427,0.0160598089262069,0.95392,0.0008436436057088,0.178206666666667,0.00104236501563316,0.821793333333333,0.00104236501563316,0.04608,0.0008436436057088,0.0525,0.00223033069296909
250,0.35,"Backward BIC",4.4436,0.3546,0.5564,14.6454,4.7982,0.00769243741341689,0.88872,0.00101478033973555,0.02364,0.000408191855563023,0.97636,0.000408191855563023,0.11128,0.00101478033973555,0.332,0.00470930992821666
250,0.35,"Backward p-value",4.8601,4.6962,0.1399,10.3038,9.5563,0.0185622597425172,0.97202,0.000693801193433393,0.31308,0.0012206447848176,0.68692,0.0012206447848176,0.02798,0.000693801193433394,0.004,0.00063118935352238
250,0.35,"Elastic net: lambda.1se",4.9121,3.7014,0.0879,11.2986,8.6135,0.0177342387861033,0.98242,0.00056632714277462,0.24676,0.00117502693961921,0.75324,0.00117502693961921,0.01758,0.00056632714277462,0.017,0.00129271033104868
250,0.35,"Elastic net: lambda.min",4.9526,6.3007,0.0474,8.6993,11.2533,0.0266856726261931,0.99052,0.000425007085943647,0.420046666666667,0.00177265482366018,0.579953333333333,0.00177265482366018,0.00948,0.000425007085943647,0.0016,0.000399679871897498
250,0.35,"LASSO: lambda.1se",4.7936,1.7929,0.2064,13.2071,6.5865,0.0151925921582082,0.95872,0.000809482356922383,0.119526666666667,0.000963285667064595,0.880473333333333,0.000963285667064595,0.04128,0.000809482356922383,0.147,0.00354105916358369
250,0.35,"LASSO: lambda.min",4.9356,5.2584,0.0644,9.7416,10.194,0.0269916515783213,0.98712,0.000490952811852979,0.35056,0.00178675966857145,0.64944,0.00178675966857145,0.01288,0.000490952811852979,0.0074,0.000857043756175844
250,0.7,"Backward AIC",4.4855,2.7433,0.5145,12.2567,7.2288,0.0162459671655742,0.8971,0.00109182334093972,0.182886666666667,0.0010319872381798,0.817113333333333,0.0010319872381798,0.1029,0.00109182334093972,0.0319,0.00175733861278924
250,0.7,"Backward BIC",4.0243,0.414,0.9757,14.586,4.4383,0.00765540146022086,0.80486,0.00104792550058937,0.0276,0.000437694517880258,0.9724,0.000437694517880258,0.19514,0.00104792550058937,0.1036,0.00304740939159805
250,0.7,"Backward p-value",4.6402,4.7578,0.3598,10.2422,9.398,0.0187359201394099,0.92804,0.00100233542670643,0.317186666666667,0.00121323632341761,0.682813333333333,0.00121323632341761,0.07196,0.00100233542670643,0.0027,0.000518913287553903
250,0.7,"Elastic net: lambda.1se",4.8804,6.2018,0.1196,8.7982,11.0822,0.0188827956615857,0.97608,0.00065025044603157,0.413453333333333,0.00125088925220461,0.586546666666667,0.00125088925220461,0.02392,0.000650250446031571,2e-04,0.000141407213394508
250,0.7,"Elastic net: lambda.min",4.8479,6.0913,0.1521,8.9087,10.9392,0.0246416528890761,0.96958,0.000720495851082532,0.406086666666667,0.00162493875520014,0.593913333333333,0.00162493875520014,0.03042,0.000720495851082532,9e-04,0.000299864969611324
